dataset,role,task,seed,fold,metric,angle_deg,value,result_path
ASP_clean,baseline,asp_baseline,42,3,mean,,0.6337657121255079,outputs/public_calibration_rotation/asp_baseline/public_cv_parity_v1/seed42_fold3/results.json
ASP_clean,baseline,asp_baseline,42,3,std,,0.05214120495854923,outputs/public_calibration_rotation/asp_baseline/public_cv_parity_v1/seed42_fold3/results.json
ASP_clean,baseline,asp_baseline,42,3,acc@0,,0.7255457896229089,outputs/public_calibration_rotation/asp_baseline/public_cv_parity_v1/seed42_fold3/results.json
ASP_clean,baseline,asp_baseline,42,3,acc@90,,0.6331159625744258,outputs/public_calibration_rotation/asp_baseline/public_cv_parity_v1/seed42_fold3/results.json
ASP_clean,baseline,asp_baseline,42,3,acc@180,,0.5795293450524525,outputs/public_calibration_rotation/asp_baseline/public_cv_parity_v1/seed42_fold3/results.json
ASP_clean,baseline,asp_baseline,42,3,acc@270,,0.6393535582648143,outputs/public_calibration_rotation/asp_baseline/public_cv_parity_v1/seed42_fold3/results.json
ASP_clean,baseline,asp_baseline,42,3,angle_accuracy,0,0.7255457896229089,outputs/public_calibration_rotation/asp_baseline/public_cv_parity_v1/seed42_fold3/results.json
ASP_clean,baseline,asp_baseline,42,3,angle_accuracy,15,0.7088176920895946,outputs/public_calibration_rotation/asp_baseline/public_cv_parity_v1/seed42_fold3/results.json
ASP_clean,baseline,asp_baseline,42,3,angle_accuracy,30,0.7054153671675645,outputs/public_calibration_rotation/asp_baseline/public_cv_parity_v1/seed42_fold3/results.json
ASP_clean,baseline,asp_baseline,42,3,angle_accuracy,45,0.6855684717890559,outputs/public_calibration_rotation/asp_baseline/public_cv_parity_v1/seed42_fold3/results.json
ASP_clean,baseline,asp_baseline,42,3,angle_accuracy,60,0.6634533597958605,outputs/public_calibration_rotation/asp_baseline/public_cv_parity_v1/seed42_fold3/results.json
ASP_clean,baseline,asp_baseline,42,3,angle_accuracy,75,0.6325489084207542,outputs/public_calibration_rotation/asp_baseline/public_cv_parity_v1/seed42_fold3/results.json
ASP_clean,baseline,asp_baseline,42,3,angle_accuracy,90,0.6331159625744258,outputs/public_calibration_rotation/asp_baseline/public_cv_parity_v1/seed42_fold3/results.json
ASP_clean,baseline,asp_baseline,42,3,angle_accuracy,105,0.5937056988942444,outputs/public_calibration_rotation/asp_baseline/public_cv_parity_v1/seed42_fold3/results.json
ASP_clean,baseline,asp_baseline,42,3,angle_accuracy,120,0.5903033739722143,outputs/public_calibration_rotation/asp_baseline/public_cv_parity_v1/seed42_fold3/results.json
ASP_clean,baseline,asp_baseline,42,3,angle_accuracy,135,0.5744258576694075,outputs/public_calibration_rotation/asp_baseline/public_cv_parity_v1/seed42_fold3/results.json
ASP_clean,baseline,asp_baseline,42,3,angle_accuracy,150,0.5659200453643323,outputs/public_calibration_rotation/asp_baseline/public_cv_parity_v1/seed42_fold3/results.json
ASP_clean,baseline,asp_baseline,42,3,angle_accuracy,165,0.568188261979019,outputs/public_calibration_rotation/asp_baseline/public_cv_parity_v1/seed42_fold3/results.json
ASP_clean,baseline,asp_baseline,42,3,angle_accuracy,180,0.5795293450524525,outputs/public_calibration_rotation/asp_baseline/public_cv_parity_v1/seed42_fold3/results.json
