dataset,model,source_curve,epoch,train_acc,val_acc,train_loss,val_loss
ASP_clean,baseline,outputs/asp_as25_baseline_ASP_clean_seed42/20260508_221149/resnet50/training_curve.csv,10,0.86158287525177,0.6951892971992493,0.3879391551017761,0.9722706079483032
ASP_clean,baseline,outputs/asp_as25_baseline_ASP_clean_seed42/20260508_221149/resnet50/training_curve.csv,11,0.8807744383811951,0.6951892971992493,0.3417285084724426,0.9849655032157898
ASP_clean,baseline,outputs/asp_as25_baseline_ASP_clean_seed42/20260508_221149/resnet50/training_curve.csv,12,0.8957201242446899,0.6955835819244385,0.29343920946121216,1.0189591646194458
ASP_clean,baseline,outputs/asp_as25_baseline_ASP_clean_seed42/20260508_221149/resnet50/training_curve.csv,13,0.9125339388847351,0.7003154754638672,0.24876773357391357,1.0866520404815674
ASP_clean,baseline,outputs/asp_as25_baseline_ASP_clean_seed42/20260508_221149/resnet50/training_curve.csv,14,0.9186481237411499,0.6932176947593689,0.22431287169456482,1.0837980508804321
ASP_clean,baseline,outputs/asp_as25_baseline_ASP_clean_seed42/20260508_221149/resnet50/training_curve.csv,15,0.9363111257553101,0.6940063238143921,0.18816210329532623,1.0786162614822388
ASP_clean,baseline,outputs/asp_as25_baseline_ASP_clean_seed42/20260508_221149/resnet50/training_curve.csv,16,0.9429348111152649,0.6999211311340332,0.17129215598106384,1.0803154706954956
ASP_clean,baseline,outputs/asp_as25_baseline_ASP_clean_seed42/20260508_221149/resnet50/training_curve.csv,17,0.95091712474823,0.6963722109794617,0.14635510742664337,1.1204463243484497
ASP_clean,baseline,outputs/asp_as25_baseline_ASP_clean_seed42/20260508_221149/resnet50/training_curve.csv,18,0.95754075050354,0.7014984488487244,0.13060711324214935,1.1041507720947266
ASP_clean,baseline,outputs/asp_as25_baseline_ASP_clean_seed42/20260508_221149/resnet50/training_curve.csv,19,0.9558423757553101,0.7070189118385315,0.12932328879833221,1.1035046577453613
ASP_clean,baseline,outputs/asp_as25_baseline_ASP_clean_seed42/20260508_221149/resnet50/training_curve.csv,20,0.95872962474823,0.7113564610481262,0.1247699037194252,1.1150898933410645
ASP_clean,baseline,outputs/asp_as25_baseline_ASP_clean_seed42/20260508_221149/resnet50/training_curve.csv,21,0.961277186870575,0.7026813626289368,0.12195473909378052,1.1394838094711304
ASP_clean,baseline,outputs/asp_as25_baseline_ASP_clean_seed42/20260508_221149/resnet50/training_curve.csv,22,0.96535325050354,0.7066246271133423,0.10755001753568649,1.1301771402359009
ASP_clean,baseline,outputs/asp_as25_baseline_ASP_clean_seed42/20260508_221149/resnet50/training_curve.csv,23,0.966202437877655,0.7050473093986511,0.10530595481395721,1.1419564485549927
ASP_clean,baseline,outputs/asp_as25_baseline_ASP_clean_seed42/20260508_221149/resnet50/training_curve.csv,24,0.967900812625885,0.7113564610481262,0.1025819182395935,1.1359632015228271
ASP_clean,baseline,outputs/asp_as25_baseline_ASP_clean_seed42/20260508_221149/resnet50/training_curve.csv,25,0.9638247489929199,0.7082018852233887,0.10099858045578003,1.1329166889190674
ASP_clean,baseline,outputs/asp_as25_baseline_ASP_clean_seed42/20260508_221149/resnet50/training_curve.csv,26,0.9658627510070801,0.7117508053779602,0.09809387475252151,1.1341853141784668
ASP_clean,baseline,outputs/asp_as25_baseline_ASP_clean_seed42/20260508_221149/resnet50/training_curve.csv,27,0.967900812625885,0.715299665927887,0.09667136520147324,1.1260043382644653
ASP_clean,baseline,outputs/asp_as25_baseline_ASP_clean_seed42/20260508_221149/resnet50/training_curve.csv,28,0.969089686870575,0.7089905142784119,0.1000455766916275,1.1375007629394531
ASP_clean,baseline,outputs/asp_as25_baseline_ASP_clean_seed42/20260508_221149/resnet50/training_curve.csv,29,0.9663723111152649,0.710173487663269,0.10313531756401062,1.136107087135315
ASP_clean,baseline,outputs/asp_as25_baseline_ASP_clean_seed42/20260508_221149/resnet50/training_curve.csv,30,0.9668818116188049,0.7113564610481262,0.1003514751791954,1.1307216882705688
ASP_clean,aafnet,outputs/asp_as25_aafnet_ASP_clean_seed42/20260508_215629/resnet50/training_curve.csv,1,0.26069971919059753,0.4238958954811096,2.5458223819732666,2.085474729537964
ASP_clean,aafnet,outputs/asp_as25_aafnet_ASP_clean_seed42/20260508_215629/resnet50/training_curve.csv,2,0.44276493787765503,0.5686119794845581,2.1049625873565674,1.7728148698806763
ASP_clean,aafnet,outputs/asp_as25_aafnet_ASP_clean_seed42/20260508_215629/resnet50/training_curve.csv,3,0.515625,0.5985804200172424,1.8863064050674438,1.6696149110794067
ASP_clean,aafnet,outputs/asp_as25_aafnet_ASP_clean_seed42/20260508_215629/resnet50/training_curve.csv,4,0.5721806883811951,0.6336750984191895,1.7632344961166382,1.5768680572509766
ASP_clean,aafnet,outputs/asp_as25_aafnet_ASP_clean_seed42/20260508_215629/resnet50/training_curve.csv,5,0.592391312122345,0.6707413196563721,1.6924530267715454,1.508829116821289
ASP_clean,aafnet,outputs/asp_as25_aafnet_ASP_clean_seed42/20260508_215629/resnet50/training_curve.csv,6,0.625849187374115,0.6845425963401794,1.6048239469528198,1.4620113372802734
ASP_clean,aafnet,outputs/asp_as25_aafnet_ASP_clean_seed42/20260508_215629/resnet50/training_curve.csv,7,0.6577785611152649,0.6841482520103455,1.5245765447616577,1.4660472869873047
ASP_clean,aafnet,outputs/asp_as25_aafnet_ASP_clean_seed42/20260508_215629/resnet50/training_curve.csv,8,0.6756114363670349,0.6963722109794617,1.48256254196167,1.4373804330825806
ASP_clean,aafnet,outputs/asp_as25_aafnet_ASP_clean_seed42/20260508_215629/resnet50/training_curve.csv,9,0.6825747489929199,0.6944006085395813,1.438026785850525,1.4244426488876343
ASP_clean,aafnet,outputs/asp_as25_aafnet_ASP_clean_seed42/20260508_215629/resnet50/training_curve.csv,10,0.7128056883811951,0.7034700512886047,1.3737351894378662,1.4319921731948853
ASP_clean,aafnet,outputs/asp_as25_aafnet_ASP_clean_seed42/20260508_215629/resnet50/training_curve.csv,11,0.719089686870575,0.6959779262542725,1.3428828716278076,1.4271477460861206
ASP_clean,aafnet,outputs/asp_as25_aafnet_ASP_clean_seed42/20260508_215629/resnet50/training_curve.csv,12,0.7294497489929199,0.7042586803436279,1.3241057395935059,1.4157066345214844
ASP_clean,aafnet,outputs/asp_as25_aafnet_ASP_clean_seed42/20260508_215629/resnet50/training_curve.csv,13,0.743036687374115,0.7093848586082458,1.2805901765823364,1.41566002368927
ASP_clean,aafnet,outputs/asp_as25_aafnet_ASP_clean_seed42/20260508_215629/resnet50/training_curve.csv,14,0.764266312122345,0.7149053812026978,1.2240681648254395,1.3966152667999268
ASP_clean,aafnet,outputs/asp_as25_aafnet_ASP_clean_seed42/20260508_215629/resnet50/training_curve.csv,15,0.7666440010070801,0.727523684501648,1.227542757987976,1.3901702165603638
ASP_clean,aafnet,outputs/asp_as25_aafnet_ASP_clean_seed42/20260508_215629/resnet50/training_curve.csv,16,0.78464674949646,0.7208201885223389,1.165146827697754,1.4143060445785522
ASP_clean,aafnet,outputs/asp_as25_aafnet_ASP_clean_seed42/20260508_215629/resnet50/training_curve.csv,17,0.7890625,0.7247633934020996,1.147426962852478,1.4040476083755493
ASP_clean,aafnet,outputs/asp_as25_aafnet_ASP_clean_seed42/20260508_215629/resnet50/training_curve.csv,18,0.8009510636329651,0.7196372151374817,1.1247029304504395,1.3962221145629883
ASP_clean,aafnet,outputs/asp_as25_aafnet_ASP_clean_seed42/20260508_215629/resnet50/training_curve.csv,19,0.803838312625885,0.7208201885223389,1.0957459211349487,1.4089170694351196
ASP_clean,aafnet,outputs/asp_as25_aafnet_ASP_clean_seed42/20260508_215629/resnet50/training_curve.csv,20,0.8114809989929199,0.7235804200172424,1.0998455286026,1.3961822986602783
ASP_clean,aafnet,outputs/asp_as25_aafnet_ASP_clean_seed42/20260508_215629/resnet50/training_curve.csv,21,0.8123301863670349,0.7188485860824585,1.0786556005477905,1.4054003953933716
ASP_clean,aafnet,outputs/asp_as25_aafnet_ASP_clean_seed42/20260508_215629/resnet50/training_curve.csv,22,0.8221806883811951,0.7235804200172424,1.0683982372283936,1.3995014429092407
ASP_clean,aafnet,outputs/asp_as25_aafnet_ASP_clean_seed42/20260508_215629/resnet50/training_curve.csv,23,0.827785313129425,0.7306782603263855,1.0459648370742798,1.4016757011413574
ASP_clean,aafnet,outputs/asp_as25_aafnet_ASP_clean_seed42/20260508_215629/resnet50/training_curve.csv,24,0.8371263742446899,0.7247633934020996,1.0274144411087036,1.402054786682129
ASP_clean,aafnet,outputs/asp_as25_aafnet_ASP_clean_seed42/20260508_215629/resnet50/training_curve.csv,25,0.8383151888847351,0.7239747643470764,1.0159802436828613,1.4102330207824707
ASP_clean,aafnet,outputs/asp_as25_aafnet_ASP_clean_seed42/20260508_215629/resnet50/training_curve.csv,26,0.83644700050354,0.7227917909622192,1.0217021703720093,1.4067250490188599
ASP_clean,aafnet,outputs/asp_as25_aafnet_ASP_clean_seed42/20260508_215629/resnet50/training_curve.csv,27,0.8439198136329651,0.7263407111167908,1.0123438835144043,1.398990511894226
ASP_clean,aafnet,outputs/asp_as25_aafnet_ASP_clean_seed42/20260508_215629/resnet50/training_curve.csv,28,0.84595787525177,0.7259463667869568,1.0127307176589966,1.4028422832489014
ASP_clean,aafnet,outputs/asp_as25_aafnet_ASP_clean_seed42/20260508_215629/resnet50/training_curve.csv,29,0.8357676863670349,0.7247633934020996,1.028843879699707,1.4050520658493042
ASP_clean,aafnet,outputs/asp_as25_aafnet_ASP_clean_seed42/20260508_215629/resnet50/training_curve.csv,30,0.8388247489929199,0.7298895716667175,1.0106316804885864,1.3998866081237793
AS25_clean,baseline,outputs/asp_as25_baseline_AS25_clean_seed42/20260508_230242/resnet50/training_curve.csv,1,0.1260557472705841,0.1674664169549942,3.0696616172790527,2.8720905780792236
AS25_clean,baseline,outputs/asp_as25_baseline_AS25_clean_seed42/20260508_230242/resnet50/training_curve.csv,2,0.2937077581882477,0.338291734457016,2.501558780670166,2.1969518661499023
AS25_clean,baseline,outputs/asp_as25_baseline_AS25_clean_seed42/20260508_230242/resnet50/training_curve.csv,3,0.4142736494541168,0.4443378150463104,1.9744054079055786,1.7829859256744385
AS25_clean,baseline,outputs/asp_as25_baseline_AS25_clean_seed42/20260508_230242/resnet50/training_curve.csv,4,0.5021114945411682,0.5038387775421143,1.5895066261291504,1.5506877899169922
AS25_clean,baseline,outputs/asp_as25_baseline_AS25_clean_seed42/20260508_230242/resnet50/training_curve.csv,5,0.5770692825317383,0.5359885096549988,1.3458083868026733,1.4379734992980957
