dataset,model,true_class_index,pred_class_index,true_class_name,pred_class_name,count,row_normalized
AS25_clean,baseline,4,12,Ancient Egyptian architecture,Colonial architecture,0,0.0
AS25_clean,baseline,4,13,Ancient Egyptian architecture,Deconstructivism,1,0.010416666666666666
AS25_clean,baseline,4,14,Ancient Egyptian architecture,Edwardian architecture,0,0.0
AS25_clean,baseline,4,15,Ancient Egyptian architecture,Georgian architecture,0,0.0
AS25_clean,baseline,4,16,Ancient Egyptian architecture,Gothic architecture,0,0.0
AS25_clean,baseline,4,17,Ancient Egyptian architecture,Greek Revival architecture,0,0.0
AS25_clean,baseline,4,18,Ancient Egyptian architecture,International style,0,0.0
AS25_clean,baseline,4,19,Ancient Egyptian architecture,Novelty architecture,0,0.0
AS25_clean,baseline,4,20,Ancient Egyptian architecture,Palladian architecture,0,0.0
AS25_clean,baseline,4,21,Ancient Egyptian architecture,Postmodern architecture,0,0.0
AS25_clean,baseline,4,22,Ancient Egyptian architecture,Queen Anne architecture,0,0.0
AS25_clean,baseline,4,23,Ancient Egyptian architecture,Romanesque architecture,2,0.020833333333333332
AS25_clean,baseline,4,24,Ancient Egyptian architecture,Russian Revival architecture,0,0.0
AS25_clean,baseline,4,25,Ancient Egyptian architecture,Tudor Revival architecture,0,0.0
AS25_clean,baseline,5,1,Art Deco architecture,Achaemenid architecture,2,0.011976047904191617
AS25_clean,baseline,5,2,Art Deco architecture,American Foursquare architecture,1,0.005988023952095809
AS25_clean,baseline,5,3,Art Deco architecture,American craftsman style,0,0.0
AS25_clean,baseline,5,4,Art Deco architecture,Ancient Egyptian architecture,0,0.0
AS25_clean,baseline,5,5,Art Deco architecture,Art Deco architecture,94,0.562874251497006
AS25_clean,baseline,5,6,Art Deco architecture,Art Nouveau architecture,9,0.05389221556886228
AS25_clean,baseline,5,7,Art Deco architecture,Baroque architecture,1,0.005988023952095809
AS25_clean,baseline,5,8,Art Deco architecture,Bauhaus architecture,13,0.07784431137724551
AS25_clean,baseline,5,9,Art Deco architecture,Beaux-Arts architecture,5,0.029940119760479042
AS25_clean,baseline,5,10,Art Deco architecture,Byzantine architecture,1,0.005988023952095809
AS25_clean,baseline,5,11,Art Deco architecture,Chicago school architecture,8,0.04790419161676647
AS25_clean,baseline,5,12,Art Deco architecture,Colonial architecture,1,0.005988023952095809
AS25_clean,baseline,5,13,Art Deco architecture,Deconstructivism,2,0.011976047904191617
AS25_clean,baseline,5,14,Art Deco architecture,Edwardian architecture,1,0.005988023952095809
AS25_clean,baseline,5,15,Art Deco architecture,Georgian architecture,2,0.011976047904191617
AS25_clean,baseline,5,16,Art Deco architecture,Gothic architecture,0,0.0
AS25_clean,baseline,5,17,Art Deco architecture,Greek Revival architecture,2,0.011976047904191617
AS25_clean,baseline,5,18,Art Deco architecture,International style,9,0.05389221556886228
AS25_clean,baseline,5,19,Art Deco architecture,Novelty architecture,2,0.011976047904191617
AS25_clean,baseline,5,20,Art Deco architecture,Palladian architecture,0,0.0
AS25_clean,baseline,5,21,Art Deco architecture,Postmodern architecture,10,0.059880239520958084
AS25_clean,baseline,5,22,Art Deco architecture,Queen Anne architecture,0,0.0
AS25_clean,baseline,5,23,Art Deco architecture,Romanesque architecture,1,0.005988023952095809
AS25_clean,baseline,5,24,Art Deco architecture,Russian Revival architecture,1,0.005988023952095809
