dataset,role,task,seed,fold,condition,stage,metric,value,temperature,result_path
ASP_clean,baseline,asp_baseline,1337,0,clean,pre,brier,0.4284537744200682,1.4102232456207275,outputs/public_calibration_rotation/asp_baseline/public_cv_parity_v1/seed1337_fold0/results.json
ASP_clean,baseline,asp_baseline,1337,0,clean,post,accuracy,0.7227105188545506,1.4102232456207275,outputs/public_calibration_rotation/asp_baseline/public_cv_parity_v1/seed1337_fold0/results.json
ASP_clean,baseline,asp_baseline,1337,0,clean,post,ece,0.10481177089164978,1.4102232456207275,outputs/public_calibration_rotation/asp_baseline/public_cv_parity_v1/seed1337_fold0/results.json
ASP_clean,baseline,asp_baseline,1337,0,clean,post,nll,0.8823635578155518,1.4102232456207275,outputs/public_calibration_rotation/asp_baseline/public_cv_parity_v1/seed1337_fold0/results.json
ASP_clean,baseline,asp_baseline,1337,0,clean,post,brier,0.40029531660694223,1.4102232456207275,outputs/public_calibration_rotation/asp_baseline/public_cv_parity_v1/seed1337_fold0/results.json
ASP_clean,baseline,asp_baseline,1337,0,noise_0_05,pre,accuracy,0.14289764672526226,1.4102232456207275,outputs/public_calibration_rotation/asp_baseline/public_cv_parity_v1/seed1337_fold0/results.json
ASP_clean,baseline,asp_baseline,1337,0,noise_0_05,pre,ece,0.48785961917246373,1.4102232456207275,outputs/public_calibration_rotation/asp_baseline/public_cv_parity_v1/seed1337_fold0/results.json
ASP_clean,baseline,asp_baseline,1337,0,noise_0_05,pre,nll,3.872722864151001,1.4102232456207275,outputs/public_calibration_rotation/asp_baseline/public_cv_parity_v1/seed1337_fold0/results.json
ASP_clean,baseline,asp_baseline,1337,0,noise_0_05,pre,brier,1.2160690171225987,1.4102232456207275,outputs/public_calibration_rotation/asp_baseline/public_cv_parity_v1/seed1337_fold0/results.json
ASP_clean,baseline,asp_baseline,1337,0,noise_0_05,post,accuracy,0.14289764672526226,1.4102232456207275,outputs/public_calibration_rotation/asp_baseline/public_cv_parity_v1/seed1337_fold0/results.json
ASP_clean,baseline,asp_baseline,1337,0,noise_0_05,post,ece,0.3733773347479378,1.4102232456207275,outputs/public_calibration_rotation/asp_baseline/public_cv_parity_v1/seed1337_fold0/results.json
ASP_clean,baseline,asp_baseline,1337,0,noise_0_05,post,nll,3.1291592121124268,1.4102232456207275,outputs/public_calibration_rotation/asp_baseline/public_cv_parity_v1/seed1337_fold0/results.json
ASP_clean,baseline,asp_baseline,1337,0,noise_0_05,post,brier,1.1022256185217387,1.4102232456207275,outputs/public_calibration_rotation/asp_baseline/public_cv_parity_v1/seed1337_fold0/results.json
ASP_clean,baseline,asp_baseline,1337,0,noise_0_10,pre,accuracy,0.10178622058406578,1.4102232456207275,outputs/public_calibration_rotation/asp_baseline/public_cv_parity_v1/seed1337_fold0/results.json
ASP_clean,baseline,asp_baseline,1337,0,noise_0_10,pre,ece,0.8796105809342871,1.4102232456207275,outputs/public_calibration_rotation/asp_baseline/public_cv_parity_v1/seed1337_fold0/results.json
ASP_clean,baseline,asp_baseline,1337,0,noise_0_10,pre,nll,23.42133140563965,1.4102232456207275,outputs/public_calibration_rotation/asp_baseline/public_cv_parity_v1/seed1337_fold0/results.json
ASP_clean,baseline,asp_baseline,1337,0,noise_0_10,pre,brier,1.7711386945862095,1.4102232456207275,outputs/public_calibration_rotation/asp_baseline/public_cv_parity_v1/seed1337_fold0/results.json
ASP_clean,baseline,asp_baseline,1337,0,noise_0_10,post,accuracy,0.10178622058406578,1.4102232456207275,outputs/public_calibration_rotation/asp_baseline/public_cv_parity_v1/seed1337_fold0/results.json
