dataset,role,task,seed,fold,metric,value,clean_accuracy,result_path
ASP_clean,baseline,asp_baseline,2024,0,all_corruption_mean,0.5263774690482941,0.7360362914658349,outputs/public_robustness_attribution/asp_baseline/public_cv_parity_v1/seed2024_fold0/eval/resnet50/results.json
ASP_clean,baseline,asp_baseline,2024,1,gauss_noise_mean,0.14677251677535205,0.7380209810036858,outputs/public_robustness_attribution/asp_baseline/public_cv_parity_v1/seed2024_fold1/eval/resnet50/results.json
ASP_clean,baseline,asp_baseline,2024,1,motion_blur_mean,0.43804933371136945,0.7380209810036858,outputs/public_robustness_attribution/asp_baseline/public_cv_parity_v1/seed2024_fold1/eval/resnet50/results.json
ASP_clean,baseline,asp_baseline,2024,1,jpeg_compress_mean,0.688781778659862,0.7380209810036858,outputs/public_robustness_attribution/asp_baseline/public_cv_parity_v1/seed2024_fold1/eval/resnet50/results.json
ASP_clean,baseline,asp_baseline,2024,1,brightness_mean,0.6762120782534732,0.7380209810036858,outputs/public_robustness_attribution/asp_baseline/public_cv_parity_v1/seed2024_fold1/eval/resnet50/results.json
ASP_clean,baseline,asp_baseline,2024,1,occlusion_mean,0.6682733201020697,0.7380209810036858,outputs/public_robustness_attribution/asp_baseline/public_cv_parity_v1/seed2024_fold1/eval/resnet50/results.json
ASP_clean,baseline,asp_baseline,2024,1,all_corruption_mean,0.5236178055004252,0.7380209810036858,outputs/public_robustness_attribution/asp_baseline/public_cv_parity_v1/seed2024_fold1/eval/resnet50/results.json
ASP_clean,baseline,asp_baseline,2024,2,gauss_noise_mean,0.14715055287779982,0.7332010206974766,outputs/public_robustness_attribution/asp_baseline/public_cv_parity_v1/seed2024_fold2/eval/resnet50/results.json
ASP_clean,baseline,asp_baseline,2024,2,motion_blur_mean,0.40185237690199416,0.7332010206974766,outputs/public_robustness_attribution/asp_baseline/public_cv_parity_v1/seed2024_fold2/eval/resnet50/results.json
ASP_clean,baseline,asp_baseline,2024,2,jpeg_compress_mean,0.697665627067385,0.7332010206974766,outputs/public_robustness_attribution/asp_baseline/public_cv_parity_v1/seed2024_fold2/eval/resnet50/results.json
ASP_clean,baseline,asp_baseline,2024,2,brightness_mean,0.683678291276817,0.7332010206974766,outputs/public_robustness_attribution/asp_baseline/public_cv_parity_v1/seed2024_fold2/eval/resnet50/results.json
ASP_clean,baseline,asp_baseline,2024,2,occlusion_mean,0.6822606558926377,0.7332010206974766,outputs/public_robustness_attribution/asp_baseline/public_cv_parity_v1/seed2024_fold2/eval/resnet50/results.json
ASP_clean,baseline,asp_baseline,2024,2,all_corruption_mean,0.5225215008033267,0.7332010206974766,outputs/public_robustness_attribution/asp_baseline/public_cv_parity_v1/seed2024_fold2/eval/resnet50/results.json
ASP_clean,baseline,asp_baseline,2024,3,gauss_noise_mean,0.10112465740478216,0.732633966543805,outputs/public_robustness_attribution/asp_baseline/public_cv_parity_v1/seed2024_fold3/eval/resnet50/results.json
ASP_clean,baseline,asp_baseline,2024,3,motion_blur_mean,0.3849352613174558,0.732633966543805,outputs/public_robustness_attribution/asp_baseline/public_cv_parity_v1/seed2024_fold3/eval/resnet50/results.json
ASP_clean,baseline,asp_baseline,2024,3,jpeg_compress_mean,0.6928456667611758,0.732633966543805,outputs/public_robustness_attribution/asp_baseline/public_cv_parity_v1/seed2024_fold3/eval/resnet50/results.json
ASP_clean,baseline,asp_baseline,2024,3,brightness_mean,0.6791418580474435,0.732633966543805,outputs/public_robustness_attribution/asp_baseline/public_cv_parity_v1/seed2024_fold3/eval/resnet50/results.json
ASP_clean,baseline,asp_baseline,2024,3,occlusion_mean,0.6779132407144882,0.732633966543805,outputs/public_robustness_attribution/asp_baseline/public_cv_parity_v1/seed2024_fold3/eval/resnet50/results.json
